timestamp,symbol,price
2025-10-30T19:31:43.207829,AAPL,155.57
2025-10-30T19:31:43.219964,AAPL,153.78
2025-10-30T19:31:43.230097,AAPL,153.08
2025-10-30T19:31:43.240671,AAPL,151.83
2025-10-30T19:31:43.251156,AAPL,149.63
2025-10-30T19:31:43.261974,AAPL,154.77
2025-10-30T19:31:43.272583,AAPL,153.78
2025-10-30T19:31:43.282925,AAPL,152.28
2025-10-30T19:31:43.293672,AAPL,154.56
2025-10-30T19:31:43.303905,AAPL,154.61
2025-10-30T19:31:43.314229,AAPL,155.67
2025-10-30T19:31:43.324844,AAPL,153.66
2025-10-30T19:31:43.335174,AAPL,156.13
2025-10-30T19:31:43.345487,AAPL,159.94
2025-10-30T19:31:43.355824,AAPL,165.54
2025-10-30T19:31:43.366144,AAPL,160.85
2025-10-30T19:31:43.376515,AAPL,160.55
2025-10-30T19:31:43.386894,AAPL,158.82
2025-10-30T19:31:43.397532,AAPL,158.65
2025-10-30T19:31:43.407885,AAPL,162.28
2025-10-30T19:31:43.418221,AAPL,162.12
2025-10-30T19:31:43.429947,AAPL,162.02
2025-10-30T19:31:43.440312,AAPL,162.86
2025-10-30T19:31:43.450648,AAPL,159.37
2025-10-30T19:31:43.460855,AAPL,155.65
2025-10-30T19:31:43.471089,AAPL,157.64
2025-10-30T19:31:43.481264,AAPL,162.02
2025-10-30T19:31:43.491746,AAPL,166.79
2025-10-30T19:31:43.502084,AAPL,169.25
2025-10-30T19:31:43.512709,AAPL,170.68
2025-10-30T19:31:43.523155,AAPL,170.89
2025-10-30T19:31:43.533530,AAPL,163.73
2025-10-30T19:31:43.543775,AAPL,166.63
2025-10-30T19:31:43.553986,AAPL,165.75
2025-10-30T19:31:43.564414,AAPL,165.72
2025-10-30T19:31:43.575142,AAPL,167.69
2025-10-30T19:31:43.585786,AAPL,170.67
2025-10-30T19:31:43.596140,AAPL,170.11
2025-10-30T19:31:43.606472,AAPL,164.05
2025-10-30T19:31:43.616896,AAPL,164.68
2025-10-30T19:31:43.627260,AAPL,166.31
2025-10-30T19:31:43.637648,AAPL,165.16
2025-10-30T19:31:43.647861,AAPL,162.72
2025-10-30T19:31:43.658468,AAPL,163.49
2025-10-30T19:31:43.668802,AAPL,166.29
2025-10-30T19:31:43.679553,AAPL,162.63
2025-10-30T19:31:43.689898,AAPL,167.59
2025-10-30T19:31:43.700507,AAPL,163.28
2025-10-30T19:31:43.710663,AAPL,162.2
2025-10-30T19:31:43.720982,AAPL,164.63
2025-10-30T19:31:43.731362,AAPL,161.0
2025-10-30T19:31:43.743079,AAPL,159.12
2025-10-30T19:31:43.753630,AAPL,160.18
2025-10-30T19:31:43.764283,AAPL,155.48
2025-10-30T19:31:43.774499,AAPL,157.11
2025-10-30T19:31:43.785001,AAPL,155.79
2025-10-30T19:31:43.795557,AAPL,152.84
2025-10-30T19:31:43.805717,AAPL,154.51
2025-10-30T19:31:43.816001,AAPL,155.6
2025-10-30T19:31:43.826562,AAPL,154.79
2025-10-30T19:31:43.836746,AAPL,151.05
2025-10-30T19:31:43.846951,AAPL,154.37
2025-10-30T19:31:43.857455,AAPL,154.26
2025-10-30T19:31:43.868828,AAPL,150.66
2025-10-30T19:31:43.879056,AAPL,150.66
2025-10-30T19:31:43.889483,AAPL,150.39
2025-10-30T19:31:43.900087,AAPL,153.71
2025-10-30T19:31:43.910417,AAPL,156.39
2025-10-30T19:31:43.920787,AAPL,157.02
2025-10-30T19:31:43.931184,AAPL,155.63
2025-10-30T19:31:43.941521,AAPL,155.34
2025-10-30T19:31:43.951913,AAPL,155.2
2025-10-30T19:31:43.962401,AAPL,152.68
2025-10-30T19:31:43.972959,AAPL,155.54
2025-10-30T19:31:43.983471,AAPL,156.25
2025-10-30T19:31:43.994176,AAPL,157.18
2025-10-30T19:31:44.004942,AAPL,150.36
2025-10-30T19:31:44.015278,AAPL,151.78
2025-10-30T19:31:44.025724,AAPL,149.75
2025-10-30T19:31:44.036275,AAPL,141.78
2025-10-30T19:31:44.046478,AAPL,139.13
2025-10-30T19:31:44.056880,AAPL,137.08
2025-10-30T19:31:44.067228,AAPL,141.69
2025-10-30T19:31:44.077354,AAPL,143.81
2025-10-30T19:31:44.087675,AAPL,143.5
2025-10-30T19:31:44.098016,AAPL,145.16
2025-10-30T19:31:44.108375,AAPL,141.83
2025-10-30T19:31:44.118627,AAPL,145.24
2025-10-30T19:31:44.129277,AAPL,146.51
2025-10-30T19:31:44.139403,AAPL,144.99
2025-10-30T19:31:44.149929,AAPL,147.05
2025-10-30T19:31:44.160040,AAPL,146.24
2025-10-30T19:31:44.170237,AAPL,147.57
2025-10-30T19:31:44.180645,AAPL,145.78
2025-10-30T19:31:44.191165,AAPL,142.03
2025-10-30T19:31:44.201493,AAPL,143.58
2025-10-30T19:31:44.211984,AAPL,148.42
2025-10-30T19:31:44.222319,AAPL,150.02
2025-10-30T19:31:44.232527,AAPL,151.68
2025-10-30T19:31:44.243920,AAPL,150.0
2025-10-30T19:31:44.254886,AAPL,149.53
2025-10-30T19:31:44.265484,AAPL,144.94
2025-10-30T19:31:44.275998,AAPL,143.55
2025-10-30T19:31:44.286440,AAPL,145.57
2025-10-30T19:31:44.297003,AAPL,144.8
2025-10-30T19:31:44.307189,AAPL,151.64
2025-10-30T19:31:44.317510,AAPL,153.07
2025-10-30T19:31:44.328118,AAPL,151.92
2025-10-30T19:31:44.338339,AAPL,149.29
2025-10-30T19:31:44.348865,AAPL,150.44
2025-10-30T19:31:44.359135,AAPL,150.96
2025-10-30T19:31:44.369338,AAPL,144.59
2025-10-30T19:31:44.379508,AAPL,145.42
2025-10-30T19:31:44.389723,AAPL,143.07
2025-10-30T19:31:44.400033,AAPL,146.26
2025-10-30T19:31:44.410503,AAPL,147.44
2025-10-30T19:31:44.420840,AAPL,147.92
2025-10-30T19:31:44.431379,AAPL,148.86
2025-10-30T19:31:44.441914,AAPL,148.75
2025-10-30T19:31:44.452194,AAPL,148.41
2025-10-30T19:31:44.462638,AAPL,149.69
2025-10-30T19:31:44.472801,AAPL,149.29
2025-10-30T19:31:44.483360,AAPL,143.91
2025-10-30T19:31:44.493929,AAPL,148.66
2025-10-30T19:31:44.504809,AAPL,144.13
2025-10-30T19:31:44.515231,AAPL,144.19
2025-10-30T19:31:44.525632,AAPL,142.15
2025-10-30T19:31:44.536257,AAPL,141.78
2025-10-30T19:31:44.546777,AAPL,144.81
